id	population	species	state	country	sex	longitude	latitude	read_1	read_2
W6-54695-132	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-132_dc60748a-fb45-4a1c-8365-2d1a3d14d3c5_S27_L007_R1_001.fastq.gz	20240401/L7/W6-54695-132_dc60748a-fb45-4a1c-8365-2d1a3d14d3c5_S27_L007_R2_001.fastq.gz
W6-54695-133	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-133_7b1aed85-62f2-4b14-9bf5-5ee0d3aeda75_S42_L007_R1_001.fastq.gz	20240401/L7/W6-54695-133_7b1aed85-62f2-4b14-9bf5-5ee0d3aeda75_S42_L007_R2_001.fastq.gz
W6-54695-134	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-134_a9a4a40a-d02b-4f12-a0de-e32cedf5eaf8_S21_L007_R1_001.fastq.gz	20240401/L7/W6-54695-134_a9a4a40a-d02b-4f12-a0de-e32cedf5eaf8_S21_L007_R2_001.fastq.gz
W6-54695-135	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-135_721e6106-15fc-4a8a-b558-57043988e699_S23_L007_R1_001.fastq.gz	20240401/L7/W6-54695-135_721e6106-15fc-4a8a-b558-57043988e699_S23_L007_R2_001.fastq.gz
W6-54695-136	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-136_c6b43a7e-3f5b-4d3f-87d4-bdeec1a769a8_S8_L007_R1_001.fastq.gz	20240401/L7/W6-54695-136_c6b43a7e-3f5b-4d3f-87d4-bdeec1a769a8_S8_L007_R2_001.fastq.gz
W6-54695-137	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-137_cfc8d44d-d828-424d-9a20-815d2332b296_S16_L007_R1_001.fastq.gz	20240401/L7/W6-54695-137_cfc8d44d-d828-424d-9a20-815d2332b296_S16_L007_R2_001.fastq.gz
W6-54695-138	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-138_9ae08604-847c-4aa1-871e-d46f98fbb2dc_S29_L007_R1_001.fastq.gz	20240401/L7/W6-54695-138_9ae08604-847c-4aa1-871e-d46f98fbb2dc_S29_L007_R2_001.fastq.gz
W6-54695-139	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-139_fb6e6697-bd96-4bd4-bd02-a8fd1d41b73b_S1_L007_R1_001.fastq.gz	20240401/L7/W6-54695-139_fb6e6697-bd96-4bd4-bd02-a8fd1d41b73b_S1_L007_R2_001.fastq.gz
W6-54695-140	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-140_e105eed2-67bc-4bd4-827b-fa35623be74a_S38_L007_R1_001.fastq.gz	20240401/L7/W6-54695-140_e105eed2-67bc-4bd4-827b-fa35623be74a_S38_L007_R2_001.fastq.gz
W6-54695-141	W6-54695	Distichlis_spicata	VA	US	unknown	-75.95461	37.12916	20240401/L7/W6-54695-141_d4a613a8-fc9a-454d-a9d2-6b1cd8d034a7_S18_L007_R1_001.fastq.gz	20240401/L7/W6-54695-141_d4a613a8-fc9a-454d-a9d2-6b1cd8d034a7_S18_L007_R2_001.fastq.gz
