id	population	species	state	country	sex	longitude	latitude
barco-22-038	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-039	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-040	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-041	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-042	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-043	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-044	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-045	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-046	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-047	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-048	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-049	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-050	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-051	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-052	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-053	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-054	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-055	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-056	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-057	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-058	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-059	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-060	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-061	barco	Distichlis_palmeri	SON	MX	female	-113.4462558	31.2928776
barco-22-101	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-102	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-103	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-104	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-105	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-106	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-107	barco	Distichlis_palmeri	SON	MX	male	-113.4462558	31.2928776
barco-22-108	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-109	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
barco-22-110	barco	Distichlis_palmeri	SON	MX	unknown	-113.4462558	31.2928776
choya-22-001	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-002	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-003	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-004	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
choya-22-005	choya	Distichlis_palmeri	SON	MX	unknown	-113.6102033	31.3389783
choya-22-006	choya	Distichlis_palmeri	SON	MX	male	-113.6102033	31.3389783
