id	population	species	state	country	sex	longitude	latitude	read_1	read_2
angeles-22-032	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-032/angeles-22-032_e84ae541-781e-4e72-851f-7ae2b8c381dd_R1.fastq.gz	angeles-22-032/angeles-22-032_e84ae541-781e-4e72-851f-7ae2b8c381dd_R2.fastq.gz
angeles-22-033	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-033/angeles-22-033_7c20b6de-03fd-4457-a111-95fcd3ab250d_R1.fastq.gz	angeles-22-033/angeles-22-033_7c20b6de-03fd-4457-a111-95fcd3ab250d_R2.fastq.gz
angeles-22-034	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-034/angeles-22-034_123b3ab4-748e-434e-b5a3-be3441df0694_R1.fastq.gz	angeles-22-034/angeles-22-034_123b3ab4-748e-434e-b5a3-be3441df0694_R2.fastq.gz
angeles-22-035	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-035/angeles-22-035_a95f2e97-ead6-4065-9579-31e6c700d40c_R1.fastq.gz	angeles-22-035/angeles-22-035_a95f2e97-ead6-4065-9579-31e6c700d40c_R2.fastq.gz
angeles-22-036	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-036/angeles-22-036_cb6474dd-c16c-4a14-85f9-cce9c4bcd0b3_R1.fastq.gz	angeles-22-036/angeles-22-036_cb6474dd-c16c-4a14-85f9-cce9c4bcd0b3_R2.fastq.gz
angeles-22-037	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-037/angeles-22-037_6e93bd18-ce9b-4dd6-857c-eef8347cf611_R1.fastq.gz	angeles-22-037/angeles-22-037_6e93bd18-ce9b-4dd6-857c-eef8347cf611_R2.fastq.gz
angeles-22-038	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-038/angeles-22-038_84628ab0-ffc7-4898-8d93-6342067dffd7_R1.fastq.gz	angeles-22-038/angeles-22-038_84628ab0-ffc7-4898-8d93-6342067dffd7_R2.fastq.gz
angeles-22-039	angeles	Distichlis_palmeri	BCA	MX	female	-113.552635	28.9550433	angeles-22-039/angeles-22-039_b212b45e-20b5-4a4d-931e-fc602056e42f_R1.fastq.gz	angeles-22-039/angeles-22-039_b212b45e-20b5-4a4d-931e-fc602056e42f_R2.fastq.gz
angeles-22-040	angeles	Distichlis_palmeri	BCA	MX	male	-113.552635	28.9550433	angeles-22-040/angeles-22-040_3b4e9c9b-1cc0-4c48-ac57-2247959cd5c9_R1.fastq.gz	angeles-22-040/angeles-22-040_3b4e9c9b-1cc0-4c48-ac57-2247959cd5c9_R2.fastq.gz
arenas-22-001	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543	arenas-22-001/arenas-22-001_f46ca110-0e11-4ffc-99c6-30f1a2b44c9e_R1.fastq.gz	arenas-22-001/arenas-22-001_f46ca110-0e11-4ffc-99c6-30f1a2b44c9e_R2.fastq.gz
arenas-22-002	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543	arenas-22-002/arenas-22-002_3bdbc872-8c15-478f-a482-5a1bed874411_R1.fastq.gz	arenas-22-002/arenas-22-002_3bdbc872-8c15-478f-a482-5a1bed874411_R2.fastq.gz
arenas-22-003	arenas	Distichlis_palmeri	SON	MX	female	-112.19067	29.15543	arenas-22-003/arenas-22-003_2e949fd5-623c-47f4-ab24-c501896c6fc4_R1.fastq.gz	arenas-22-003/arenas-22-003_2e949fd5-623c-47f4-ab24-c501896c6fc4_R2.fastq.gz
